Name,Year,Genre,Budget,Duration,Rating,Language,Industry
Aranmanai,2014,"Comedy ,Horror",1400000,160,5.2,Tamil,Kollywood
Evanukku Engeyo Matcham Irukku,2018,Comedy,1400000,148,3.5,Tamil,Kollywood
Lakshmi's NTR,2019,Drama,1400000,152,7.4,Telugu,Tollywood
Julie 2,2017,"Drama ,Romance",1400000,159,2.5,Hindi,Bollywood
Oru Kuppai Kathai,2018,Drama,1400000,135,6.5,Tamil,Kollywood
Buddha in a Traffic Jam,2016,"Crime ,Thriller",280000,114,6.8,Hindi,Bollywood
Siruthai,2011,Action,1540000,160,5.8,Tamil,Kollywood
Power,2014,Action,3500000,147,5.8,Telugu,Tollywood
Kaashmora,2016,"Action ,Comedy ,Fantasy ,Horror",7500000,163,5.6,Tamil,Kollywood
Girgit,2019,Comedy,1400000,155,9.7,Other Language,Other-wood
Daas Dev,2018,"Drama ,Thriller",1400000,140,5.1,Hindi,Bollywood
Idam Jagath,2018,"Action ,Thriller",1400000,140,6.3,Telugu,Tollywood
Thuppaki Munai,2018,"Action ,Thriller",1400000,128,6.3,Tamil,Kollywood
Beyond the Known World,2017,Drama,1400000,102,6.0,English,Hollywood
Ivan Yarendru Therikiratha,2017,"Comedy ,Romance",1400000,137,8.3,Tamil,Kollywood
Gultoo,2018,"Crime ,Drama",1400000,128,8.4,Kannada,Sandalwood
Guru,2017,"Action ,Drama ,Sport",2520000,116,8.0,Telugu,Tollywood
Baarish Aur Chowmein,2018,Drama,1400000,48,6.5,Hindi,Bollywood
Dil Toh Baccha Hai Ji,2011,"Comedy ,Drama ,Romance",1400000,143,5.7,Hindi,Bollywood
Wedding Cha Shinema,2019,Comedy,1400000,137,7.4,Other Language,Other-wood
Main Zaroor Aaunga,2019,"Horror ,Thriller",112000,100,5.0,Hindi,Bollywood
Typecaste,2017,Comedy,1400000,100,7.1,Hindi,Bollywood
Bhoot and Friends,2010,"Action ,Adventure ,Animation ,Drama ,Thriller",420000,133,5.3,Hindi,Bollywood
Right Yaaa Wrong,2010,"Crime ,Drama ,Thriller",1400000,135,6.4,Hindi,Bollywood
Qismat,2018,"Drama ,Romance",1000000,137,8.5,Other Language,Other-wood
Yevade Subramanyam,2015,"Adventure ,Comedy ,Drama",1400000,150,7.6,Telugu,Tollywood
Machhli Jal Ki Rani Hai,2014,Horror,595000,120,2.7,Hindi,Bollywood
Lamhaa: The Untold Story of Kashmir,2010,"Action ,Drama ,Thriller",1400000,152,5.0,Hindi,Bollywood
Mithai,2019,"Crime ,Drama ,Romance",350000,140,4.7,Telugu,Tollywood
Dhaad,2018,Action,1400000,135,4.7,Other Language,Other-wood
Poorna,2017,"Adventure ,Biography ,Drama",1400000,100,7.8,Hindi,Bollywood
Sura,2010,Action,1400000,159,2.5,Tamil,Kollywood
Baadshah,2013,"Action ,Comedy",6300000,164,6.4,Telugu,Tollywood
Lover,2018,Romance,1400000,130,5.7,Telugu,Tollywood
Jaga Hatare Pagha,2015,"Action ,Drama",1400000,140,4.9,Other Language,Other-wood
Aarakshan,2011,Drama,1400000,164,6.2,Hindi,Bollywood
Kanche,2015,"Action ,Drama ,History ,War",5040000,126,8.0,Telugu,Tollywood
Janatha Garage,2016,"Action ,Drama",1400000,162,7.3,Telugu,Tollywood
Paiyaa,2010,"Action ,Drama ,Romance",1400000,152,6.3,Tamil,Kollywood
Ardaas,2016,Drama,700000,135,8.4,Other Language,Other-wood
Savita Damodar Paranjpe,2018,Thriller,1400000,108,6.0,Other Language,Other-wood
